S.No,Name,Url
63,Dindigul Farm,https://www.screener.in/company/544201/
64,PNGS Gargi FJ,https://www.screener.in/company/543709/
65,Cams Services,https://www.screener.in/company/CAMS/
66,Accelya Solution,https://www.screener.in/company/ACCELYA/consolidated/
67,Hindustan Motors,https://www.screener.in/company/HINDMOTORS/
68,Insolation Ener,https://www.screener.in/company/543620/
69,Swaraj Engines,https://www.screener.in/company/SWARAJENG/
70,One Global Serv,https://www.screener.in/company/514330/
71,Anand Rathi Wea.,https://www.screener.in/company/ANANDRATHI/consolidated/
72,Victory Ele.,https://www.screener.in/company/id/1285462/
73,Shakti Pumps,https://www.screener.in/company/SHAKTIPUMP/consolidated/
74,Sheshadri Indus.,https://www.screener.in/company/539111/
75,Rajesh Power,https://www.screener.in/company/544291/
76,Castrol India,https://www.screener.in/company/CASTROLIND/
77,Kamanwala Housin,https://www.screener.in/company/511131/consolidated/
78,Hyundai Motor I,https://www.screener.in/company/HYUNDAI/
79,C2C Advanced,https://www.screener.in/company/C2C/
80,GE Vernova T&D,https://www.screener.in/company/GVT&D/
81,Arrow Greentech,https://www.screener.in/company/ARROWGREEN/consolidated/
82,Indian Energy Ex,https://www.screener.in/company/IEX/
83,Life Insurance,https://www.screener.in/company/LICI/consolidated/
84,Sathlokhar,https://www.screener.in/company/SSEGL/
85,Britannia Inds.,https://www.screener.in/company/BRITANNIA/consolidated/
86,Goenka Business,https://www.screener.in/company/538787/
87,Alpex Solar,https://www.screener.in/company/ALPEXSOLAR/consolidated/
88,Jeena Sikho,https://www.screener.in/company/JSLL/
89,Glittek Granites,https://www.screener.in/company/513528/
90,Aayush Wellness,https://www.screener.in/company/539528/
91,Shine Fashions,https://www.screener.in/company/543244/
92,SBEC Systems,https://www.screener.in/company/517360/consolidated/
93,Tata Tele. Mah.,https://www.screener.in/company/TTML/
94,Unique Organics,https://www.screener.in/company/530997/
95,Jyoti Resins,https://www.screener.in/company/514448/
96,Globe Commercial,https://www.screener.in/company/540266/
97,Infronics Sys.,https://www.screener.in/company/537985/
98,Indsil Hydro,https://www.screener.in/company/522165/
99,Sanofi India,https://www.screener.in/company/SANOFI/
100,I R C T C,https://www.screener.in/company/IRCTC/
101,Timex Group,https://www.screener.in/company/500414/
102,Coal India,https://www.screener.in/company/COALINDIA/consolidated/
103,Taparia Tools,https://www.screener.in/company/505685/
104,Amic Forging,https://www.screener.in/company/544037/
105,Unifinz Capital,https://www.screener.in/company/541358/
106,Sodhani Academy,https://www.screener.in/company/544257/
107,ADC India,https://www.screener.in/company/523411/
108,Abbott India,https://www.screener.in/company/ABBOTINDIA/
109,Bihar Sponge,https://www.screener.in/company/500058/
110,Mahalaxmi Seam.,https://www.screener.in/company/513460/
111,GSM Foils,https://www.screener.in/company/GSMFOILS/
112,Marico,https://www.screener.in/company/MARICO/consolidated/
113,Advani Hotels.,https://www.screener.in/company/ADVANIHOTR/
114,P & G Health Ltd,https://www.screener.in/company/PGHL/
115,Evans Electric,https://www.screener.in/company/542668/
116,Prizor Viztech,https://www.screener.in/company/PRIZOR/
117,R M Drip & Sprin,https://www.screener.in/company/RMDRIP/
118,Kaarya Facilit.,https://www.screener.in/company/540756/
119,Triveni Turbine,https://www.screener.in/company/TRITURBINE/consolidated/
120,Prudent Corp.,https://www.screener.in/company/PRUDENT/consolidated/
121,My Money Sec.,https://www.screener.in/company/538862/
122,Shri Gang Indus,https://www.screener.in/company/523309/
123,Ganesh Housing,https://www.screener.in/company/GANESHHOUC/consolidated/
124,Natl. Aluminium,https://www.screener.in/company/NATIONALUM/consolidated/
125,Kronox Lab,https://www.screener.in/company/KRONOX/
126,Avax Apparels,https://www.screener.in/company/544337/
127,JMJ Fintech,https://www.screener.in/company/538834/
128,BSE,https://www.screener.in/company/BSE/consolidated/
129,HDFC AMC,https://www.screener.in/company/HDFCAMC/
130,Sonalis Consumer,https://www.screener.in/company/543924/
131,KSE,https://www.screener.in/company/519421/
132,Mazagon Dock,https://www.screener.in/company/MAZDOCK/consolidated/
133,Multi Comm. Exc.,https://www.screener.in/company/MCX/consolidated/
134,Sahana Systems,https://www.screener.in/company/SAHANA/consolidated/
135,Motherson Wiring,https://www.screener.in/company/MSUMI/
136,Viviana Power,https://www.screener.in/company/VIVIANA/consolidated/
137,K.P. Energy,https://www.screener.in/company/KPEL/consolidated/
138,Oriana Power Ltd,https://www.screener.in/company/ORIANA/consolidated/
139,Humming Bird Edu,https://www.screener.in/company/542592/consolidated/
140,Mishtann Foods,https://www.screener.in/company/539594/consolidated/
141,Fluidomat,https://www.screener.in/company/522017/
142,Avishkar Infra,https://www.screener.in/company/508929/
143,C D S L,https://www.screener.in/company/CDSL/consolidated/
144,Frontier Springs,https://www.screener.in/company/522195/
145,Kesar India,https://www.screener.in/company/543542/consolidated/
146,Positron Energy,https://www.screener.in/company/POSITRON/
147,Macfos,https://www.screener.in/company/543787/
148,Akzo Nobel,https://www.screener.in/company/AKZOINDIA/
149,Tanfac Inds.,https://www.screener.in/company/506854/
150,Guj. Terce Labs.,https://www.screener.in/company/524314/
151,Premier Energies,https://www.screener.in/company/PREMIERENE/consolidated/
152,MPS,https://www.screener.in/company/MPSLTD/consolidated/
153,Kimia Bioscien.,https://www.screener.in/company/530313/
154,Kisaan Parivar,https://www.screener.in/company/519230/
155,Blue Water,https://www.screener.in/company/BLUEWATER/
156,Tavernier Res.,https://www.screener.in/company/531190/
157,Nippon Life Ind.,https://www.screener.in/company/NAM-INDIA/consolidated/
158,Hawkins Cookers,https://www.screener.in/company/508486/
159,KPIT Technologi.,https://www.screener.in/company/KPITTECH/consolidated/
160,Manav Infra,https://www.screener.in/company/MANAV/
161,Oracle Fin.Serv.,https://www.screener.in/company/OFSS/consolidated/
162,Blue Jet Health,https://www.screener.in/company/BLUEJET/
163,Danish Power,https://www.screener.in/company/DANISH/
164,Bondada Engineer,https://www.screener.in/company/543971/consolidated/
165,Onesource Indus.,https://www.screener.in/company/530805/
166,Rappid Valves,https://www.screener.in/company/RAPPID/
167,Action Const.Eq.,https://www.screener.in/company/ACE/consolidated/
168,Olatech Solution,https://www.screener.in/company/543578/
169,Ashoka Buildcon,https://www.screener.in/company/ASHOKA/consolidated/
170,Kore Digital,https://www.screener.in/company/KDL/
171,Sat Kartar,https://www.screener.in/company/SATKARTAR/
172,Nisus Finance,https://www.screener.in/company/544296/consolidated/
173,Dixon Technolog.,https://www.screener.in/company/DIXON/consolidated/
174,Schneider Elect.,https://www.screener.in/company/SCHNEIDER/
175,Sati Poly,https://www.screener.in/company/SATIPOLY/
176,Blue Pebble,https://www.screener.in/company/BLUEPEBBLE/
177,Sri Adhik. Bros.,https://www.screener.in/company/SABTNL/consolidated/
178,MRP Agro,https://www.screener.in/company/543262/
179,E Factor Experie,https://www.screener.in/company/EFACTOR/consolidated/
180,Envirotech,https://www.screener.in/company/ENVIRO/
181,Dynacons Sys.,https://www.screener.in/company/DSSL/
182,TAC Infosec,https://www.screener.in/company/TAC/
183,Indrapr.Medical,https://www.screener.in/company/INDRAMEDCO/
184,Bharat Electron,https://www.screener.in/company/BEL/consolidated/
185,Ganesh Infra.,https://www.screener.in/company/GANESHIN/
186,Sharda Motor,https://www.screener.in/company/SHARDAMOTR/
187,A B B,https://www.screener.in/company/ABB/
188,Premium Plast,https://www.screener.in/company/PREMIUM/
189,Lakhotia Poly.,https://www.screener.in/company/535387/
190,IB Infotech,https://www.screener.in/company/519463/
191,Lloyds Metals,https://www.screener.in/company/LLOYDSME/
192,Eco Recyc.,https://www.screener.in/company/530643/consolidated/
193,CG Power & Ind,https://www.screener.in/company/CGPOWER/consolidated/
194,Marsons,https://www.screener.in/company/517467/
195,Kody Technolab,https://www.screener.in/company/KODYTECH/
196,Tuticorin Alkali,https://www.screener.in/company/506808/
197,Inox India,https://www.screener.in/company/INOXINDIA/consolidated/
198,Slone,https://www.screener.in/company/SLONE/
199,Aryaman Fin.Serv,https://www.screener.in/company/530245/consolidated/
200,Infosys,https://www.screener.in/company/INFY/consolidated/
201,Wealth First Por,https://www.screener.in/company/WEALTH/
202,21st Cent. Mgmt.,https://www.screener.in/company/21STCENMGM/consolidated/
203,Benares Hotels,https://www.screener.in/company/509438/
204,Garden Reach Sh.,https://www.screener.in/company/GRSE/
205,Afcom,https://www.screener.in/company/544224/
206,Apex Ecotech,https://www.screener.in/company/APEXECO/
207,RMC Switchgears,https://www.screener.in/company/540358/
208,Hoac Foods,https://www.screener.in/company/HOACFOODS/
209,Avantel,https://www.screener.in/company/AVANTEL/
210,3M India,https://www.screener.in/company/3MINDIA/
211,ITC,https://www.screener.in/company/ITC/consolidated/
212,Emergent Indust.,https://www.screener.in/company/506180/consolidated/
213,Blue Cloud Soft.,https://www.screener.in/company/539607/consolidated/
214,Symphony,https://www.screener.in/company/SYMPHONY/consolidated/
215,Solar Industries,https://www.screener.in/company/SOLARINDS/consolidated/
216,Concord Control,https://www.screener.in/company/543619/consolidated/
217,Ajwa Fun World,https://www.screener.in/company/526628/
218,Zen Technologies,https://www.screener.in/company/ZENTEC/consolidated/
219,Gayatri Sugars,https://www.screener.in/company/532183/
220,S J Logistics (I,https://www.screener.in/company/SJLOGISTIC/consolidated/
221,Cummins India,https://www.screener.in/company/CUMMINSIND/consolidated/
222,East India Drums,https://www.screener.in/company/523874/
223,Vikram Thermo,https://www.screener.in/company/530477/
224,City Online Ser.,https://www.screener.in/company/538674/
225,Tata Elxsi,https://www.screener.in/company/TATAELXSI/
226,Winsol,https://www.screener.in/company/WINSOL/
227,Jai Balaji Inds.,https://www.screener.in/company/JAIBALAJI/consolidated/
228,Amal,https://www.screener.in/company/506597/consolidated/
229,Sunlite,https://www.screener.in/company/SUNLITE/
230,Global Education,https://www.screener.in/company/GLOBAL/
231,Ecos (India),https://www.screener.in/company/ECOSMOBLTY/
232,TAAL Enterprises,https://www.screener.in/company/539956/consolidated/
233,CRISIL,https://www.screener.in/company/CRISIL/consolidated/
234,Borana,https://www.screener.in/company/BORANA/
235,Aditya AMC,https://www.screener.in/company/ABSLAMC/consolidated/
236,Dolat Algotech,https://www.screener.in/company/DOLATALGO/consolidated/
237,Bombay Burmah,https://www.screener.in/company/BBTC/consolidated/
238,Dhanlaxmi Crop,https://www.screener.in/company/DHANLAXMI/
239,Infollion Resea.,https://www.screener.in/company/INFOLLION/
240,Royal,https://www.screener.in/company/544143/consolidated/
241,Nirman Agri,https://www.screener.in/company/NIRMAN/
242,Brace Port,https://www.screener.in/company/BRACEPORT/
243,Waaree Energies,https://www.screener.in/company/WAAREEENER/consolidated/
244,Wanbury,https://www.screener.in/company/WANBURY/consolidated/
245,Mamata Machinery,https://www.screener.in/company/MAMATA/consolidated/
246,Astal Lab,https://www.screener.in/company/512600/
247,Shanthi Gears,https://www.screener.in/company/SHANTIGEAR/
248,Iware,https://www.screener.in/company/IWARE/
249,IIFL Capital,https://www.screener.in/company/IIFLCAPS/consolidated/
250,Exhicon Events,https://www.screener.in/company/543895/consolidated/
251,Indo Tech.Trans.,https://www.screener.in/company/INDOTECH/
252,Identixweb,https://www.screener.in/company/544388/consolidated/
253,Virtual Galaxy,https://www.screener.in/company/VGINFOTECH/consolidated/
254,Indiamart Inter.,https://www.screener.in/company/INDIAMART/consolidated/
255,Digicontent,https://www.screener.in/company/DGCONTENT/consolidated/
256,KFin Technolog.,https://www.screener.in/company/KFINTECH/consolidated/
257,Gokul Agro,https://www.screener.in/company/GOKULAGRO/consolidated/
258,Cigniti Tech.,https://www.screener.in/company/CIGNITITEC/consolidated/
259,Reliance Infra.,https://www.screener.in/company/RELINFRA/consolidated/
260,Effwa Infra,https://www.screener.in/company/EFFWA/
261,Hind.Aeronautics,https://www.screener.in/company/HAL/consolidated/
262,Emami,https://www.screener.in/company/EMAMILTD/consolidated/
263,DDev Plastiks,https://www.screener.in/company/DDEVPLSTIK/
264,Deepak,https://www.screener.in/company/544036/consolidated/
265,Dreamfolks Servi,https://www.screener.in/company/DREAMFOLKS/consolidated/
266,Srigee DLM,https://www.screener.in/company/544399/
267,Mason,https://www.screener.in/company/MASON/consolidated/
268,Sobhagya Mercant,https://www.screener.in/company/512014/
269,D.P. Abhushan,https://www.screener.in/company/DPABHUSHAN/
270,Ajax Engineering,https://www.screener.in/company/AJAXENGG/
271,NBCC,https://www.screener.in/company/NBCC/consolidated/
272,Astrazeneca Phar,https://www.screener.in/company/ASTRAZEN/
273,Banco Products,https://www.screener.in/company/BANCOINDIA/consolidated/
274,Prostarm Info,https://www.screener.in/company/PROSTARM/
275,RPG LifeScience.,https://www.screener.in/company/RPGLIFE/
276,Ajanta Pharma,https://www.screener.in/company/AJANTPHARM/consolidated/
277,VVIP Infratech,https://www.screener.in/company/544219/consolidated/
278,Monarch Networth,https://www.screener.in/company/MONARCH/consolidated/
279,Jubilant Agri,https://www.screener.in/company/JUBLCPL/
280,Indef Manufactur,https://www.screener.in/company/BAJAJINDEF/
281,RBM Infracon,https://www.screener.in/company/RBMINFRA/
282,Escorp Asset Mgt,https://www.screener.in/company/540455/
283,Indo National,https://www.screener.in/company/NIPPOBATRY/consolidated/
284,Steelcast,https://www.screener.in/company/STEELCAS/
285,BLS Internat.,https://www.screener.in/company/BLS/consolidated/
286,Challani Capital,https://www.screener.in/company/530747/
287,Rajoo Engineers,https://www.screener.in/company/RAJOOENG/consolidated/
288,Natco Pharma,https://www.screener.in/company/NATCOPHARM/consolidated/
289,Timescan Logist.,https://www.screener.in/company/TIMESCAN/
290,Shantidoot Infra,https://www.screener.in/company/543598/
291,Swastika Investm,https://www.screener.in/company/530585/consolidated/
292,Netweb Technol.,https://www.screener.in/company/NETWEB/
293,Algoquant Fin,https://www.screener.in/company/505725/consolidated/
294,Siddhika Coatins,https://www.screener.in/company/SIDDHIKA/
295,Onix Solar,https://www.screener.in/company/513119/
296,Suzlon Energy,https://www.screener.in/company/SUZLON/consolidated/
297,Premier Polyfilm,https://www.screener.in/company/PREMIERPOL/
298,Systango Tech,https://www.screener.in/company/SYSTANGO/consolidated/
299,Gyan Developers,https://www.screener.in/company/530141/
300,Jay Bee Laminati,https://www.screener.in/company/JAYBEE/
301,Apar Inds.,https://www.screener.in/company/APARINDS/consolidated/
302,Unicommerce,https://www.screener.in/company/UNIECOM/consolidated/
303,Uni Abex Alloy,https://www.screener.in/company/504605/
304,POCL Enterprises,https://www.screener.in/company/539195/
305,Picturepost,https://www.screener.in/company/PPSL/
306,Alldigi Tech,https://www.screener.in/company/ALLDIGI/consolidated/
307,HCL Technologies,https://www.screener.in/company/HCLTECH/consolidated/
308,Nimbus Projects,https://www.screener.in/company/511714/consolidated/
309,Maxvolt Ene.,https://www.screener.in/company/MAXVOLT/
310,Trent,https://www.screener.in/company/TRENT/consolidated/
311,Urban Enviro,https://www.screener.in/company/URBAN/
312,Enviro Infra,https://www.screener.in/company/EIEL/consolidated/
313,Electrotherm(I),https://www.screener.in/company/ELECTHERM/consolidated/
314,Aryaman Capital,https://www.screener.in/company/538716/
315,Contil India,https://www.screener.in/company/531067/
316,Pecos Hotels,https://www.screener.in/company/539273/
317,Sahaj Solar,https://www.screener.in/company/SAHAJSOLAR/
318,Gandhi Spl. Tube,https://www.screener.in/company/GANDHITUBE/
319,Tembo Global,https://www.screener.in/company/TEMBO/consolidated/
320,Persistent Sys,https://www.screener.in/company/PERSISTENT/consolidated/
321,Balu Forge,https://www.screener.in/company/BALUFORGE/consolidated/
322,Authum Invest,https://www.screener.in/company/AIIL/
323,Basilic Fly Stud,https://www.screener.in/company/BASILIC/consolidated/
324,South. Magnesium,https://www.screener.in/company/513498/
325,My Mudra Fin.,https://www.screener.in/company/MYMUDRA/
326,Hero Motocorp,https://www.screener.in/company/HEROMOTOCO/consolidated/
327,OSEL Devices,https://www.screener.in/company/OSELDEVICE/
328,Foseco India,https://www.screener.in/company/FOSECOIND/
329,Aprameya Enginee,https://www.screener.in/company/APRAMEYA/
330,SRM Contractors,https://www.screener.in/company/SRM/
331,Polycab India,https://www.screener.in/company/POLYCAB/consolidated/
332,Sayaji Hot. Pune,https://www.screener.in/company/544090/consolidated/
333,Orissa Minerals,https://www.screener.in/company/ORISSAMINE/
334,Desco Infra.,https://www.screener.in/company/544387/
335,Josts Engg. Co.,https://www.screener.in/company/505750/consolidated/
336,Arkade,https://www.screener.in/company/ARKADE/consolidated/
337,Enfuse,https://www.screener.in/company/ENFUSE/
338,Transrail Light,https://www.screener.in/company/TRANSRAILL/consolidated/
339,Kingfa Science,https://www.screener.in/company/KINGFA/
340,Integ. Industrie,https://www.screener.in/company/531889/consolidated/
341,CLN Energy,https://www.screener.in/company/544347/
342,D-Link India,https://www.screener.in/company/DLINKINDIA/consolidated/
343,CapitalNumbers,https://www.screener.in/company/544343/consolidated/
344,WOL 3D,https://www.screener.in/company/WOL3D/
345,Osiajee Texfab,https://www.screener.in/company/540198/consolidated/
346,Sanjiv.Parant.,https://www.screener.in/company/531569/
347,IRIS Business,https://www.screener.in/company/IRIS/consolidated/
348,Mahalaxmi Rubtec,https://www.screener.in/company/MHLXMIRU/
349,Readymix Cons.,https://www.screener.in/company/READYMIX/
350,Party Cruisers,https://www.screener.in/company/PARTYCRUS/
351,Morganite Crucib,https://www.screener.in/company/523160/
352,Nirlon,https://www.screener.in/company/500307/
353,Kalyani Cast-Tec,https://www.screener.in/company/544023/
354,Master Trust,https://www.screener.in/company/MASTERTR/consolidated/
355,Garuda Cons,https://www.screener.in/company/GARUDA/
356,KP Green Engg.,https://www.screener.in/company/544150/
357,Macpower CNC,https://www.screener.in/company/MACPOWER/
358,Fidel Softech,https://www.screener.in/company/FIDEL/
359,Kothari Petroche,https://www.screener.in/company/KOTHARIPET/
360,Captain Techno.,https://www.screener.in/company/540652/consolidated/
361,Integrity Infra.,https://www.screener.in/company/INTEGRITY/
362,Pidilite Inds.,https://www.screener.in/company/PIDILITIND/consolidated/
363,DRC Systems,https://www.screener.in/company/DRCSYSTEMS/consolidated/
364,Gayatri Rubbers,https://www.screener.in/company/GRCL/
365,Force Motors,https://www.screener.in/company/FORCEMOT/consolidated/
366,Eicher Motors,https://www.screener.in/company/EICHERMOT/consolidated/
367,TD Power Systems,https://www.screener.in/company/TDPOWERSYS/consolidated/
368,S A Tech,https://www.screener.in/company/SATECH/
369,Sika Interplant,https://www.screener.in/company/523606/consolidated/
370,Starlineps Enter,https://www.screener.in/company/540492/
371,Volt.Transform.,https://www.screener.in/company/VOLTAMP/
372,Kakatiya Textile,https://www.screener.in/company/521054/
373,Godfrey Phillips,https://www.screener.in/company/GODFRYPHLP/consolidated/
374,NMDC,https://www.screener.in/company/NMDC/consolidated/
375,Rapid Multimodal,https://www.screener.in/company/544237/
376,Landmark Immig.,https://www.screener.in/company/544341/
377,All E Tech,https://www.screener.in/company/ALLETEC/consolidated/
378,Concord Biotech,https://www.screener.in/company/CONCORDBIO/consolidated/
379,Travels,https://www.screener.in/company/544242/
380,Hexaware Tech.,https://www.screener.in/company/HEXT/consolidated/
381,Intl. Conveyors,https://www.screener.in/company/INTLCONV/consolidated/
382,Styrenix Perfor.,https://www.screener.in/company/STYRENIX/consolidated/
383,Suditi Industrie,https://www.screener.in/company/521113/consolidated/
384,RNFI Services,https://www.screener.in/company/RNFI/consolidated/
385,Power & Instrum.,https://www.screener.in/company/PIGL/
386,Kay Cee,https://www.screener.in/company/KCEIL/
387,Gian Lifecare,https://www.screener.in/company/542918/
388,Nagreeka Cap.,https://www.screener.in/company/NAGREEKCAP/
389,Indus Towers,https://www.screener.in/company/INDUSTOWER/consolidated/
390,Black Box,https://www.screener.in/company/BBOX/consolidated/
391,KNR Construct.,https://www.screener.in/company/KNRCON/consolidated/
392,Aimtron,https://www.screener.in/company/AIMTRON/
393,Gulf Oil Lubric.,https://www.screener.in/company/GULFOILLUB/
394,Tanla Platforms,https://www.screener.in/company/TANLA/consolidated/
395,eClerx Services,https://www.screener.in/company/ECLERX/consolidated/
396,Sonata Software,https://www.screener.in/company/SONATSOFTW/consolidated/
397,Bombay Metrics,https://www.screener.in/company/BMETRICS/
398,Techknowgreen,https://www.screener.in/company/543991/
399,Disa India,https://www.screener.in/company/500068/consolidated/
400,Kamdhenu,https://www.screener.in/company/KAMDHENU/
401,SKF India,https://www.screener.in/company/SKFINDIA/
402,Pokarna,https://www.screener.in/company/POKARNA/consolidated/
403,G M Polyplast,https://www.screener.in/company/543239/
404,Dhanuka Agritech,https://www.screener.in/company/DHANUKA/consolidated/
405,Dr Lal Pathlabs,https://www.screener.in/company/LALPATHLAB/consolidated/
406,Z-Tech,https://www.screener.in/company/ZTECH/consolidated/
407,Goyal Salt,https://www.screener.in/company/GOYALSALT/
408,Teerth,https://www.screener.in/company/TGL/
409,United Spirits,https://www.screener.in/company/UNITDSPR/consolidated/
410,Newgen Software,https://www.screener.in/company/NEWGEN/consolidated/
411,Vinsys IT Serv.,https://www.screener.in/company/VINSYS/consolidated/
412,Tinna Rubber,https://www.screener.in/company/TINNARUBR/consolidated/
413,Pee Cee Cosma,https://www.screener.in/company/524136/
414,Elecon Engg.Co,https://www.screener.in/company/ELECON/consolidated/
415,Yash Highvoltage,https://www.screener.in/company/544310/
416,Tilaknagar Inds.,https://www.screener.in/company/TI/consolidated/
417,Rexpro Enter.,https://www.screener.in/company/REXPRO/
418,Seacoast Ship.,https://www.screener.in/company/542753/
419,L&T Technology,https://www.screener.in/company/LTTS/consolidated/
420,Hindustan Hardy,https://www.screener.in/company/505893/
421,Loyal Equipments,https://www.screener.in/company/539227/
422,Solex Energy,https://www.screener.in/company/SOLEX/
423,ITD Cem,https://www.screener.in/company/ITDCEM/consolidated/
424,Kirl. Brothers,https://www.screener.in/company/KIRLOSBROS/consolidated/
425,Kirl.Pneumatic,https://www.screener.in/company/KIRLPNU/
426,Bajaj Auto,https://www.screener.in/company/BAJAJ-AUTO/consolidated/
427,Nicco Parks,https://www.screener.in/company/526721/consolidated/
428,Chandan Healthca,https://www.screener.in/company/CHANDAN/consolidated/
429,Franklin Indust.,https://www.screener.in/company/540190/
430,Modern Steels,https://www.screener.in/company/513303/
431,Ken Enter.,https://www.screener.in/company/KEN/consolidated/
432,Quality Power El,https://www.screener.in/company/QPOWER/consolidated/
433,Manoj Jewellers,https://www.screener.in/company/544400/
434,T R I L,https://www.screener.in/company/TARIL/consolidated/
435,NIIT Learning,https://www.screener.in/company/NIITMTS/consolidated/
436,Srivari Spices &,https://www.screener.in/company/SSFL/
437,Chambal Fert.,https://www.screener.in/company/CHAMBLFERT/consolidated/
438,Hind. Unilever,https://www.screener.in/company/HINDUNILVR/consolidated/
439,Fiem Industries,https://www.screener.in/company/FIEMIND/consolidated/
440,Saraswati Saree,https://www.screener.in/company/SSDL/
441,GB Logistics,https://www.screener.in/company/544348/consolidated/
442,C.E. Info System,https://www.screener.in/company/MAPMYINDIA/consolidated/
443,Jenburkt Pharma,https://www.screener.in/company/524731/
444,Danlaw Tech.,https://www.screener.in/company/532329/
445,LTIMindtree,https://www.screener.in/company/LTIM/consolidated/
446,Likhitha Infra.,https://www.screener.in/company/LIKHITHA/
447,Advait Energy,https://www.screener.in/company/543230/consolidated/
448,ASK Automotive,https://www.screener.in/company/ASKAUTOLTD/consolidated/
449,Chamunda Ele.,https://www.screener.in/company/CHAMUNDA/
450,TGIF Agribusines,https://www.screener.in/company/544175/
451,SKP Securities,https://www.screener.in/company/531169/
452,Amwill,https://www.screener.in/company/544353/
453,Ajanta Soya,https://www.screener.in/company/519216/
454,Nucleus Soft.,https://www.screener.in/company/NUCLEUS/consolidated/
455,GTV Engineering,https://www.screener.in/company/539479/
456,Ambar Protein,https://www.screener.in/company/519471/
457,Supreme Power,https://www.screener.in/company/SUPREMEPWR/
458,Supriya Lifesci.,https://www.screener.in/company/SUPRIYA/
459,Shahi Shipping,https://www.screener.in/company/526508/
460,Stylam Industrie,https://www.screener.in/company/STYLAMIND/
461,M K Exim India,https://www.screener.in/company/538890/
462,GPT Healthcare,https://www.screener.in/company/GPTHEALTH/
463,Ramsons Projects,https://www.screener.in/company/530925/
464,Beta Drugs Ltd,https://www.screener.in/company/BETA/consolidated/
465,Dodla Dairy,https://www.screener.in/company/DODLA/consolidated/
466,Guj. Themis Bio.,https://www.screener.in/company/GUJTHEM/
467,I T D C,https://www.screener.in/company/ITDC/consolidated/
